Ticker,SICCD,DlyCalDt,DlyCap,DlyRet,DlyClose,sprtrn
JNJ,2834,2014-07-11,297338410.00,-0.006616,105.1000,0.001471
JNJ,2834,2014-07-14,298130558.00,0.002664,105.3800,0.004844
JNJ,2834,2014-07-15,292189448.00,-0.019928,103.2800,-0.001932
JNJ,2834,2014-07-16,289190602.00,-0.010263,102.2200,0.004201
JNJ,2834,2014-07-17,283956767.00,-0.018098,100.3700,-0.011834
JNJ,2834,2014-07-18,288002380.00,0.014247,101.8000,0.010265
JNJ,2834,2014-07-21,286502957.00,-0.005206,101.2700,-0.002320
JNJ,2834,2014-07-22,289897877.00,0.011850,102.4700,0.005016
JNJ,2834,2014-07-23,289105729.00,-0.002733,102.1900,0.001754
JNJ,2834,2014-07-24,289134020.00,0.000098,102.2000,0.000488
JNJ,2834,2014-07-25,288879401.00,-0.000881,102.1100,-0.004849
JNJ,2834,2014-07-28,288879401.00,0.000000,102.1100,0.000288
JNJ,2834,2014-07-29,288455036.00,-0.001469,101.9600,-0.004528
JNJ,2834,2014-07-30,289416930.00,0.003335,102.3000,0.000061
JNJ,2834,2014-07-31,282514034.00,-0.021603,100.0900,-0.019999
JNJ,2834,2014-08-01,281977740.00,-0.001898,99.9000,-0.002859
JNJ,2834,2014-08-04,282711616.00,0.002603,100.1600,0.007189
JNJ,2834,2014-08-05,281751932.00,-0.003395,99.8200,-0.009685
JNJ,2834,2014-08-06,284264046.00,0.008916,100.7100,0.000016
JNJ,2834,2014-08-07,282062418.00,-0.007745,99.9300,-0.005557
JNJ,2834,2014-08-08,285308408.00,0.011508,101.0800,0.011531
JNJ,2834,2014-08-11,285534216.00,0.000791,101.1600,0.002759
JNJ,2834,2014-08-12,284038238.00,-0.005239,100.6300,-0.001637
JNJ,2834,2014-08-13,287171324.00,0.011031,101.7400,0.006707
JNJ,2834,2014-08-14,287961652.00,0.002752,102.0200,0.004346
JNJ,2834,2014-08-15,285562442.00,-0.008332,101.1700,-0.000061
JNJ,2834,2014-08-18,289881020.00,0.015123,102.7000,0.008532
JNJ,2834,2014-08-19,290614896.00,0.002532,102.9600,0.005001
JNJ,2834,2014-08-20,291320546.00,0.002428,103.2100,0.002478
JNJ,2834,2014-08-21,294086694.00,0.009495,104.1900,0.002950
JNJ,2834,2014-08-22,291010060.00,-0.003743,103.1000,-0.001993
JNJ,2834,2014-08-25,291376998.00,0.001261,103.2300,0.004788
JNJ,2834,2014-08-26,291969744.00,0.002034,103.4400,0.001051
JNJ,2834,2014-08-27,291348772.00,-0.002127,103.2200,0.000050
JNJ,2834,2014-08-28,290586670.00,-0.002616,102.9500,-0.001690
JNJ,2834,2014-08-29,292548370.51,0.007576,103.7300,0.003320
